Date,Open,High,Low,Close,Volume,Adj Close
2000-12-19,14.38,15.25,14.00,14.00,13367200,6.94
2000-12-18,14.56,14.63,13.94,14.25,11645000,7.06
2000-12-15,14.56,14.69,14.00,14.06,18363800,6.97
2000-12-14,15.03,15.25,14.44,14.44,9406600,7.16
2000-12-13,15.56,15.56,14.88,15.00,12327200,7.43
2000-12-12,15.25,16.00,15.00,15.38,13803400,7.62
2000-12-11,15.19,15.38,14.88,15.19,11884000,7.53
2000-12-08,14.81,15.31,14.44,15.06,15568200,7.46
2000-12-07,14.44,14.88,14.00,14.31,14606600,7.09
2000-12-06,14.63,15.00,14.00,14.31,49092400,7.09
2000-12-05,16.94,17.44,16.37,17.00,21932200,8.43
2000-12-04,17.19,17.19,16.44,16.69,13273400,8.27
2000-12-01,17.00,17.50,16.81,17.06,13783800,8.45
2000-11-30,16.69,17.00,16.12,16.50,28922200,8.18
2000-11-29,18.09,18.31,17.25,17.56,17586200,8.70
2000-11-28,18.69,19.00,17.94,18.03,9618200,8.94
2000-11-27,19.87,19.94,18.50,18.69,9244000,9.26
2000-11-24,18.86,19.50,18.81,19.31,5751800,9.57
2000-11-22,18.81,19.12,18.37,18.50,10029600,9.17
2000-11-21,19.19,19.50,18.75,18.81,10786200,9.32
2000-11-20,18.59,19.50,18.25,18.94,14581600,9.39
